,home with,business meeting with,gym/sport with,party with,outdoor with,school/office with,meetup with friends & family with,club or bar with,home without,business meeting without,gym/sport without,party without,outdoor without,school/office without,meetup with friends & family without,club or bar without
0,0.42857142857142855,0.7333333333333333,1.0,0.2,0.6428571428571429,0.5555555555555556,0.25,0.16666666666666663,1.0,0.25,0.75,1.0,1.0,0.8,0.8285714285714286,1.0
1,1.0,1.0,0.2222222222222222,0.75,0.8437500000000001,0.5555555555555556,1.0,1.0,0.30000000000000004,0.10000000000000003,1.0,0.6,0.7,0.8999999999999999,0.10000000000000003,0.30000000000000004
2,0.9999999999999999,1.0,1.0,1.0,1.0,0.16666666666666663,0.6875,1.0,0.5,0.7,0.30000000000000004,0.15000000000000002,0.30000000000000004,0.25,1.0,0.0
3,0.16666666666666669,0.9999999999999998,1.0,0.7428571428571429,0.0,1.0,0.9999999999999999,1.0,0.8999999999999999,0.30000000000000004,0.8999999999999999,0.8999999999999999,0.9142857142857144,0.8,0.45714285714285713,0.25
4,0.16666666666666663,0.7999999999999999,0.9999999999999999,1.0,1.0,0.16666666666666663,0.75,0.8412698412698413,0.30000000000000004,0.8999999999999999,1.0,0.14285714285714285,0.65,1.0,0.25,0.9428571428571428
5,0.5555555555555556,0.5333333333333333,1.0,0.7714285714285715,0.6875,1.0,0.8958333333333335,1.0,1.0,0.6,0.2,0.65,1.0,0.4,0.10000000000000003,0.4
6,0.16666666666666663,1.0,1.0,1.0,0.375,1.0,0.25,0.11111111111111105,0.8999999999999999,1.0,0.7,1.0,0.6,0.8,1.0,0.2
7,1.0,1.0,0.8333333333333333,0.0,0.3125,0.2777777777777778,0.9999999999999999,0.6666666666666666,0.7083333333333333,1.0,0.2,0.5,0.9285714285714286,0.75,0.7,1.0
8,0.5555555555555556,1.0,0.5555555555555556,1.0,0.9999999999999999,0.5555555555555556,0.875,0.7222222222222222,0.65,0.3571428571428571,0.85,0.17142857142857137,0.0,0.95,1.0,1.0
9,0.38888888888888884,0.4666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,0.8888888888888888,0.7714285714285715,1.0,0.95,0.30000000000000004,0.55,0.0500000000000001,0.7714285714285715,0.8999999999999999
10,0.7222222222222221,1.0,1.0,1.0,0.6875,1.0,1.0,0.6666666666666666,0.5428571428571428,0.95,1.0,0.75,0.8,0.85,0.10000000000000003,0.7
11,0.7777777777777777,0.0,1.0,1.0,0.3080357142857143,1.0,1.0,1.0,0.7,0.25,0.5714285714285714,0.11428571428571427,0.95,1.0,0.30000000000000004,0.6
12,1.0,0.3333333333333333,1.0,0.7,0.5625,1.0,0.9999999999999999,0.3333333333333333,0.7,0.25,0.25,1.0,0.34285714285714286,0.95,0.0,0.8999999999999999
13,1.0,1.0,1.0,1.0,0.875,0.9603174603174603,1.0,0.3333333333333333,0.8999999999999999,0.30000000000000004,0.8999999999999999,0.8285714285714286,0.4,0.7,0.30000000000000004,0.10000000000000003
14,1.0,0.3333333333333333,1.0,0.55,0.12500000000000003,0.8888888888888888,1.0,0.2222222222222222,0.10000000000000003,0.85,0.10000000000000003,0.95,0.45,1.0,0.8999999999999999,0.8999999999999999
15,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.8,0.8999999999999999,0.3214285714285714,0.5,0.10000000000000003,0.0,,0.30000000000000004
16,0.2222222222222222,0.4666666666666666,0.9999999999999999,0.7,0.6875,1.0,0.9642857142857143,0.5555555555555556,0.95,0.75,0.8999999999999999,0.35,1.0,0.7,,0.8
